"fmun_cod";"fmun";"ano";"total_roubos";"total_furtos";"registro_ocorrencias"
"3300100";"Angra dos Reis";"2014";"373";"1277";"6022"
"3300100";"Angra dos Reis";"2015";"363";"1128";"5719"
"3300100";"Angra dos Reis";"2016";"651";"989";"5474"
"3300100";"Angra dos Reis";"2017";"670";"691";"4519"
"3300100";"Angra dos Reis";"2018";"728";"715";"4595"
"3300100";"Angra dos Reis";"2019";"596";"597";"4462"
"3300100";"Angra dos Reis";"2020";"243";"458";"3876"
"3300100";"Angra dos Reis";"2021";"179";"573";"4817"
"3300100";"Angra dos Reis";"2022";"139";"650";"5345"
"3300100";"Angra dos Reis";"2023";"118";"739";"6533"
"3300100";"Angra dos Reis";"2024";"78";"713";"6676"
"3300100";"Angra dos Reis";"2025";"29";"561";"5419"
"3300159";"Aperibé";"2014";"0";"0";"0"
"3300159";"Aperibé";"2015";"0";"0";"0"
"3300159";"Aperibé";"2016";"0";"0";"0"
"3300159";"Aperibé";"2017";"4";"18";"189"
"3300159";"Aperibé";"2018";"4";"46";"272"
"3300159";"Aperibé";"2019";"7";"51";"320"
"3300159";"Aperibé";"2020";"5";"52";"271"
"3300159";"Aperibé";"2021";"7";"25";"255"
"3300159";"Aperibé";"2022";"3";"27";"311"
"3300159";"Aperibé";"2023";"0";"47";"365"
"3300159";"Aperibé";"2024";"2";"13";"310"
"3300159";"Aperibé";"2025";"0";"16";"287"
"3300209";"Araruama";"2014";"340";"1306";"5144"
"3300209";"Araruama";"2015";"329";"1288";"4881"
"3300209";"Araruama";"2016";"565";"1192";"5085"
"3300209";"Araruama";"2017";"695";"1027";"4876"
"3300209";"Araruama";"2018";"549";"1192";"5506"
"3300209";"Araruama";"2019";"519";"1275";"5816"
"3300209";"Araruama";"2020";"298";"960";"4466"
"3300209";"Araruama";"2021";"320";"932";"5515"
"3300209";"Araruama";"2022";"307";"1115";"6029"
"3300209";"Araruama";"2023";"173";"947";"6255"
"3300209";"Araruama";"2024";"218";"1254";"7092"
"3300209";"Araruama";"2025";"174";"798";"5588"
"3300225";"Areal";"2014";"0";"0";"0"
"3300225";"Areal";"2015";"0";"0";"0"
"3300225";"Areal";"2016";"0";"0";"0"
"3300225";"Areal";"2017";"4";"23";"137"
"3300225";"Areal";"2018";"2";"23";"174"
"3300225";"Areal";"2019";"2";"24";"189"
"3300225";"Areal";"2020";"1";"21";"187"
"3300225";"Areal";"2021";"1";"22";"277"
"3300225";"Areal";"2022";"2";"29";"333"
"3300225";"Areal";"2023";"1";"16";"305"
"3300225";"Areal";"2024";"7";"40";"397"
"3300225";"Areal";"2025";"2";"25";"317"
"3300233";"Armação dos Búzios";"2014";"126";"772";"2684"
"3300233";"Armação dos Búzios";"2015";"163";"770";"2822"
"3300233";"Armação dos Búzios";"2016";"178";"732";"2738"
"3300233";"Armação dos Búzios";"2017";"184";"588";"2175"
"3300233";"Armação dos Búzios";"2018";"173";"650";"2374"
"3300233";"Armação dos Búzios";"2019";"225";"678";"2614"
"3300233";"Armação dos Búzios";"2020";"106";"404";"2063"
"3300233";"Armação dos Búzios";"2021";"92";"354";"1952"
"3300233";"Armação dos Búzios";"2022";"65";"556";"2808"
"3300233";"Armação dos Búzios";"2023";"54";"618";"3290"
"3300233";"Armação dos Búzios";"2024";"63";"636";"3557"
"3300233";"Armação dos Búzios";"2025";"45";"388";"2966"
"3300258";"Arraial do Cabo";"2014";"28";"327";"1291"
"3300258";"Arraial do Cabo";"2015";"32";"360";"1465"
"3300258";"Arraial do Cabo";"2016";"39";"417";"1634"
"3300258";"Arraial do Cabo";"2017";"32";"349";"1493"
"3300258";"Arraial do Cabo";"2018";"48";"368";"1708"
"3300258";"Arraial do Cabo";"2019";"73";"392";"1713"
"3300258";"Arraial do Cabo";"2020";"48";"231";"1256"
"3300258";"Arraial do Cabo";"2021";"28";"216";"1436"
"3300258";"Arraial do Cabo";"2022";"32";"296";"1647"
"3300258";"Arraial do Cabo";"2023";"25";"228";"1554"
"3300258";"Arraial do Cabo";"2024";"6";"287";"1803"
"3300258";"Arraial do Cabo";"2025";"13";"262";"1723"
"3300308";"Barra do Piraí";"2014";"45";"395";"3054"
"3300308";"Barra do Piraí";"2015";"35";"370";"2793"
"3300308";"Barra do Piraí";"2016";"57";"367";"2597"
"3300308";"Barra do Piraí";"2017";"62";"334";"2408"
"3300308";"Barra do Piraí";"2018";"65";"357";"2879"
"3300308";"Barra do Piraí";"2019";"69";"352";"3324"
"3300308";"Barra do Piraí";"2020";"43";"236";"2329"
"3300308";"Barra do Piraí";"2021";"43";"185";"2791"
"3300308";"Barra do Piraí";"2022";"33";"283";"3321"
"3300308";"Barra do Piraí";"2023";"24";"284";"3592"
"3300308";"Barra do Piraí";"2024";"19";"281";"4000"
"3300308";"Barra do Piraí";"2025";"15";"249";"3253"
"3300407";"Barra Mansa";"2014";"204";"1155";"4971"
"3300407";"Barra Mansa";"2015";"261";"1086";"5230"
"3300407";"Barra Mansa";"2016";"368";"1156";"4915"
"3300407";"Barra Mansa";"2017";"263";"766";"4090"
"3300407";"Barra Mansa";"2018";"233";"848";"4714"
"3300407";"Barra Mansa";"2019";"267";"747";"5002"
"3300407";"Barra Mansa";"2020";"163";"499";"4040"
"3300407";"Barra Mansa";"2021";"146";"683";"5435"
"3300407";"Barra Mansa";"2022";"180";"772";"5902"
"3300407";"Barra Mansa";"2023";"97";"619";"5930"
"3300407";"Barra Mansa";"2024";"81";"648";"5998"
"3300407";"Barra Mansa";"2025";"44";"466";"4950"
"3300456";"Belford Roxo";"2014";"3960";"1635";"14075"
"3300456";"Belford Roxo";"2015";"3122";"1729";"12696"
"3300456";"Belford Roxo";"2016";"5086";"1535";"14086"
